,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xh12,xh13,xh14,xh15,xh16
53,3,c_klmx:12,0,2,4,25,-,2,4,25,1.0067,108.2,受半球,Betstar.csv,1.0,
54,3,c_klmx:101,1,0,5,16,-,1,5,16,0.8648,40.2,受半球,澳门.csv,1.0,
55,5,c_klmx:102,11,14,24,76,-,25,24,76,0.5827,589.6,受半球,香港马会.csv,1.0,
62,0,c_klmx:31,35,49,65,111,-,84,65,111,0.2178,356.2,受平手/半球,必发.csv,1.0,
64,2,c_klmx:11,3,5,14,32,-,8,14,32,0.5666,104.0,受平手/半球,Gwbet.csv,1.0,
65,3,c_klmx:12,1,10,16,43,-,11,16,43,0.6024,197.6,受平手/半球,IFortuna.sk.csv,1.0,
66,4,c_klmx:101,1,4,5,16,-,5,5,16,0.5983,26.9,受平手/半球,澳门.csv,1.0,
82,3,c_klmx:12,32,36,61,70,-,68,61,70,0.0582,14.9,平手/半球,Expekt.csv,2.0,
83,1,c_klmx:32,37,50,59,63,-,87,59,63,0.1775,152.9,平手/半球,Iceland.csv,2.0,
84,4,c_klmx:101,47,53,81,75,-,100,81,75,0.1249,113.6,平手/半球,IFortuna.sk.csv,2.0,
101,1,c_klmx:32,5,6,1,1,-,11,1,1,1.0879,22.2,一球,Betshop.csv,1.0,
104,4,c_klmx:101,6,6,2,1,-,12,2,1,0.9933,24.7,一球,Betshop.csv,1.0,
128,4,c_klmx:101,40,50,39,31,-,90,39,31,0.49,682.9,半球,Sweden.csv,1.0,
130,5,c_klmx:102,204,228,229,240,-,432,229,240,0.3104,8688.2,半球,BetCRIS.csv,1.0,
131,0,c_klmx:31,166,135,106,71,-,301,106,71,0.6351,10238.9,半球/一球,888Sport.csv,1.0,
136,5,c_klmx:102,118,116,124,63,-,234,124,63,0.5042,5006.9,半球/一球,TheGreek.com.csv,1.0,
148,1,c_klmx:32,4,4,8,11,-,8,8,11,0.1571,2.0,受半球,奥地利博彩.csv,2.0,
149,2,c_klmx:11,1,1,11,34,-,2,11,34,0.8601,181.6,受半球,Matchbook.csv,1.0,
150,3,c_klmx:12,2,3,7,33,-,5,7,33,0.8503,162.7,受半球,GentingBet.csv,1.0,
179,4,c_klmx:101,21,28,45,50,-,49,45,50,0.045,4.7,平手/半球,Norway.csv,2.0,
181,1,c_klmx:32,27,27,36,54,-,54,36,54,0.1768,72.0,平手/半球,Norway.csv,2.0,
195,0,c_klmx:31,97,61,30,26,-,158,30,26,0.8594,3758.2,一球,Sweden.csv,1.0,
200,5,c_klmx:102,31,49,24,19,-,80,24,19,0.6745,764.7,一球,Norway.csv,1.0,
222,5,c_klmx:102,123,140,131,160,-,263,131,160,0.3067,3208.2,半球,竞彩官方.csv,1.0,
226,5,c_klmx:102,180,190,196,218,-,370,196,218,0.296,5984.9,半球,Sweden.csv,1.0,
228,0,c_klmx:31,187,140,114,79,-,327,114,79,0.6323,12010.9,半球/一球,BetClic.fr.csv,1.0,
230,2,c_klmx:11,9,12,14,9,-,21,14,9,0.3356,24.2,半球/一球,Coral.csv,2.0,
